,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_vect__max_df,param_vect__max_features,param_vect__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,10.245859813690185,0.18433556340235702,2.4222999572753907,0.024152365096421678,25,0.25,5000,1,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 5000, 'vect__min_df': 1}",0.44504,0.43952,0.44134,0.44232,0.44286,0.442216,0.0018130813550417302,70
1,10.512079286575318,0.035574607055015445,2.4419579029083254,0.007946443146137466,25,0.25,5000,10,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 5000, 'vect__min_df': 10}",0.44504,0.43944,0.4413,0.44214,0.44302,0.44218799999999997,0.0018530234752965199,72
2,10.509712648391723,0.0190431875256099,2.461678171157837,0.014933478042860182,25,0.25,5000,25,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 5000, 'vect__min_df': 25}",0.44504,0.43944,0.44128,0.44212,0.443,0.442176,0.00185327385995702,74
3,10.675489902496338,0.057352275709683154,2.5732913494110106,0.0399094651278368,25,0.25,10000,1,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 10000, 'vect__min_df': 1}",0.44686,0.44162,0.44162,0.4436,0.44488,0.44371599999999994,0.0020019750248192287,47
4,10.695157051086426,0.08563881570751959,2.5905760765075683,0.05650260847198023,25,0.25,10000,10,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 10000, 'vect__min_df': 10}",0.44686,0.44168,0.44162,0.44364,0.44484,0.443728,0.0019845241243179575,46
5,10.855359172821045,0.2663450373506988,2.800942850112915,0.23979346256113448,25,0.25,10000,25,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 10000, 'vect__min_df': 25}",0.44686,0.44172,0.44162,0.4436,0.44488,0.443736,0.0019813288470115105,45
6,11.544378089904786,0.3531127536364588,2.7241039276123047,0.09237805401359758,25,0.25,15000,1,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 15000, 'vect__min_df': 1}",0.44776,0.4432,0.44214,0.44504,0.44522,0.444672,0.00192609864752562,8
7,11.147606039047242,0.13201889111878598,2.719875431060791,0.06146894114015738,25,0.25,15000,10,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 15000, 'vect__min_df': 10}",0.44786,0.44316,0.44214,0.44502,0.44522,0.44467999999999996,0.001963751511775358,7
8,10.780695295333862,0.10969076138003994,2.5484474658966065,0.024777312530904143,25,0.25,15000,25,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': 15000, 'vect__min_df': 25}",0.44768,0.44324,0.44212,0.4449,0.44546,0.4446800000000001,0.0019122761306882457,6
9,11.219260978698731,0.18647383271210213,2.7829108238220215,0.12849658225245908,25,0.25,,1,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': None, 'vect__min_df': 1}",0.42986,0.4253,0.42652,0.42594,0.42344,0.42621200000000004,0.002097259163765901,89
